$Tacheo; Xlocal (m); Ylocal (m); Zlocal (m); Hz (rad); V (rad); di (m); False T_GNSS (s)
OR
$GNSS; lat (degrees); lon (degrees); alt_ellips (m); True T_GNSS (s); Xmn95; Ymn95; H RAN95 
$Tacheo;993.3976;1990.0189;2999.6058;3.725998;1.603727;11.9745;1638198038.851
$Tacheo;993.3977;1990.0189;2999.6058;3.725998;1.603723;11.9744;1638198038.956
$Tacheo;993.3978;1990.0191;2999.6058;3.726003;1.603722;11.9742;1638198039.066
$Tacheo;993.3977;1990.0188;2999.6058;3.725994;1.603727;11.9745;1638198039.172
$GNSS;46.78013480;6.66114186;498.294;44001.000;2540625.056;1181290.949;448.525
$Tacheo;993.3977;1990.0190;2999.6058;3.725999;1.603722;11.9743;44001.046
$Tacheo;993.3977;1990.0189;2999.6058;3.725998;1.603727;11.9744;44001.143
$Tacheo;993.3978;1990.0190;2999.6058;3.725997;1.603723;11.9743;44001.250
$Tacheo;993.3978;1990.0190;2999.6058;3.725997;1.603721;11.9743;44001.355
$Tacheo;993.3977;1990.0189;2999.6058;3.725997;1.603726;11.9744;44001.462
$GNSS;46.78013477;6.66114184;498.295;44001.500;2540625.054;1181290.946;448.526
$Tacheo;993.3977;1990.0189;2999.6058;3.725993;1.603724;11.9744;44001.548
$Tacheo;993.3976;1990.0188;2999.6058;3.725998;1.603720;11.9746;44001.653
$Tacheo;993.3977;1990.0189;2999.6058;3.725998;1.603723;11.9744;44001.747
$Tacheo;993.3977;1990.0189;2999.6058;3.725993;1.603723;11.9744;44001.850
$Tacheo;993.3977;1990.0190;2999.6058;3.726001;1.603723;11.9744;44001.942
$GNSS;46.78013480;6.66114187;498.292;44002.000;2540625.057;1181290.949;448.523
$Tacheo;993.3978;1990.0190;2999.6058;3.725994;1.603726;11.9743;44002.036
$Tacheo;993.3976;1990.0189;2999.6058;3.726000;1.603723;11.9745;44002.129
$Tacheo;993.3978;1990.0190;2999.6058;3.725998;1.603724;11.9743;44002.235
$Tacheo;993.3977;1990.0189;2999.6058;3.725993;1.603726;11.9744;44002.343
$Tacheo;993.3977;1990.0189;2999.6057;3.725994;1.603729;11.9744;44002.449
$GNSS;46.78013479;6.66114188;498.293;44002.500;2540625.057;1181290.948;448.524
$Tacheo;993.3976;1990.0189;2999.6059;3.725998;1.603720;11.9745;44002.549
$Tacheo;993.3976;1990.0187;2999.6058;3.725993;1.603724;11.9746;44002.658
$Tacheo;993.3977;1990.0190;2999.6058;3.726002;1.603724;11.9743;44002.759
$Tacheo;993.3977;1990.0189;2999.6058;3.725997;1.603724;11.9744;44002.856
$Tacheo;993.3977;1990.0189;2999.6058;3.725993;1.603724;11.9744;44002.960
$GNSS;46.78013482;6.66114187;498.291;44003.000;2540625.057;1181290.951;448.522
$Tacheo;993.3977;1990.0190;2999.6059;3.726002;1.603720;11.9743;44003.055
$Tacheo;993.3977;1990.0190;2999.6057;3.726001;1.603729;11.9744;44003.162
$Tacheo;993.3978;1990.0190;2999.6058;3.725996;1.603724;11.9743;44003.270
$Tacheo;993.3976;1990.0189;2999.6058;3.725998;1.603724;11.9745;44003.363
$Tacheo;993.3978;1990.0190;2999.6058;3.725998;1.603724;11.9743;44003.467
$GNSS;46.78013482;6.66114188;498.291;44003.500;2540625.057;1181290.951;448.522
$Tacheo;993.3977;1990.0189;2999.6058;3.725997;1.603724;11.9744;44003.545
$Tacheo;993.3977;1990.0189;2999.6059;3.725996;1.603720;11.9744;44003.652
$Tacheo;993.3977;1990.0189;2999.6058;3.725998;1.603726;11.9744;44003.757
$Tacheo;993.3977;1990.0190;2999.6059;3.726002;1.603719;11.9744;44003.864
$Tacheo;993.3977;1990.0189;2999.6058;3.725997;1.603724;11.9744;44003.959
$GNSS;46.78013487;6.66114188;498.289;44004.000;2540625.057;1181290.957;448.520
$Tacheo;993.3975;1990.0188;2999.6058;3.726002;1.603724;11.9746;44004.042
$Tacheo;993.3977;1990.0190;2999.6058;3.726001;1.603725;11.9743;44004.149
$Tacheo;993.3978;1990.0190;2999.6058;3.725997;1.603727;11.9743;44004.255
$Tacheo;993.3977;1990.0189;2999.6058;3.725995;1.603725;11.9744;44004.362
$Tacheo;993.3977;1990.0189;2999.6058;3.725995;1.603722;11.9744;44004.467
$GNSS;46.78013490;6.66114189;498.291;44004.500;2540625.058;1181290.960;448.522
$Tacheo;993.3976;1990.0188;2999.6058;3.726000;1.603722;11.9746;44004.545
$Tacheo;993.3977;1990.0188;2999.6058;3.725997;1.603725;11.9745;44004.651
$Tacheo;993.3977;1990.0189;2999.6058;3.725997;1.603724;11.9744;44004.759
$Tacheo;993.3977;1990.0189;2999.6058;3.725997;1.603724;11.9744;44004.861
$Tacheo;993.3977;1990.0189;2999.6058;3.725993;1.603724;11.9744;44004.960
$GNSS;46.78013486;6.66114188;498.298;44005.000;2540625.057;1181290.956;448.529
$Tacheo;993.3978;1990.0190;2999.6058;3.725997;1.603724;11.9743;44005.055
$Tacheo;993.3977;1990.0190;2999.6059;3.726000;1.603719;11.9744;44005.162
